"RowID","OrderID","OrderDate","ShipDate","Year","Month","YearMonth","Region","Province","CustomerSegment","Category","SubCategory","ProductName","Sales","Profit","Quantity","Discount","UnitPrice","ShippingCost","ProfitMargin"
"1","3","2010-10-13","2010-10-20","2010","10","2010-10","Nunavut","Nunavut","Small Business","Office Supplies","Storage & Organization","Eldon Base for stackable storage shelf, platinum","261.54","-213.25","6","0.04","38.94","35","-0.8154"
"49","293","2012-10-01","2012-10-02","2012","10","2012-10","Nunavut","Nunavut","Consumer","Office Supplies","Appliances","1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","10123.02","457.81","49","0.07","208.16","68.02","0.0452"
"50","293","2012-10-01","2012-10-03","2012","10","2012-10","Nunavut","Nunavut","Consumer","Office Supplies","Binders and Binder Accessories","Cardinal Slant-D� Ring Binder, Heavy Gauge Vinyl","244.57","46.71","27","0.01","8.69","2.99","0.191"
"80","483","2011-07-10","2011-07-12","2011","7","2011-07","Nunavut","Nunavut","Corporate","Technology","Telephones and Communication","R380","4965.76","1198.97","30","0.08","195.99","3.99","0.2414"
"85","515","2010-08-28","2010-08-30","2010","8","2010-08","Nunavut","Nunavut","Consumer","Office Supplies","Appliances","Holmes HEPA Air Purifier","394.27","30.94","19","0.08","21.78","5.94","0.0785"
"86","515","2010-08-28","2010-08-30","2010","8","2010-08","Nunavut","Nunavut","Consumer","Furniture","Office Furnishings","G.E. Longer-Life Indoor Recessed Floodlight Bulbs","146.69","4.43","21","0.05","6.64","4.95","0.0302"
"97","613","2011-06-17","2011-06-17","2011","6","2011-06","Nunavut","Nunavut","Corporate","Office Supplies","Binders and Binder Accessories","Angle-D Binders with Locking Rings, Label Holders","93.54","-54.04","12","0.03","7.3","7.72","-0.5777"
"98","613","2011-06-17","2011-06-18","2011","6","2011-06","Nunavut","Nunavut","Corporate","Office Supplies","Storage & Organization","SAFCO Mobile Desk Side File, Wire Frame","905.08","127.7","22","0.09","42.76","6.22","0.1411"
"103","643","2011-03-24","2011-03-25","2011","3","2011-03","Nunavut","Nunavut","Corporate","Office Supplies","Storage & Organization","SAFCO Commercial Wire Shelving, Black","2781.82","-695.26","21","0.07","138.14","35","-0.2499"
"107","678","2010-02-26","2010-02-26","2010","2","2010-02","Nunavut","Nunavut","Home Office","Office Supplies","Paper","Xerox 198","228.41","-226.36","44","0.07","4.98","8.33","-0.991"
"127","807","2010-11-23","2010-11-24","2010","11","2010-11","Nunavut","Nunavut","Home Office","Office Supplies","Paper","Xerox 1980","196.85","-166.85","45","0.01","4.28","6.18","-0.8476"
"128","807","2010-11-23","2010-11-24","2010","11","2010-11","Nunavut","Nunavut","Home Office","Office Supplies","Rubber Bands","Advantus Map Pennant Flags and Round Head Tacks","124.56","-14.33","32","0.04","3.95","2","-0.115"
